datetime,open,high,low,close,volume
2026-07-08 09:00:00,72000.0,72124.72860653294,71575.96233659025,71734.82177233744,64864
2026-07-08 09:05:00,71734.82177233744,72270.79953504985,71710.94676429375,72129.46994141005,95761
2026-07-08 09:10:00,72129.46994141005,72228.47454955088,72036.56245496288,72192.77143666316,119164
2026-07-08 09:15:00,72192.77143666316,72576.65355410086,72005.75345117565,72426.61012643766,101191
2026-07-08 09:20:00,72426.61012643766,72515.4114894476,72100.41153513012,72244.18377261581,35692
2026-07-08 09:25:00,72244.18377261581,72411.51662717963,72100.83177551762,72137.39205470248,86120
2026-07-08 09:30:00,72137.39205470248,72399.6410478011,72126.49125763356,72267.30694899548,12931
2026-07-08 09:35:00,72267.30694899548,72466.54055660986,72127.70410125611,72274.81440552694,111245
2026-07-08 09:40:00,72274.81440552694,72354.69765686539,72087.98882143186,72199.94109297016,82552
2026-07-08 09:45:00,72199.94109297016,72568.59799584832,72034.72086817023,72523.35187028121,48001
2026-07-08 09:50:00,72523.35187028121,72849.81511858875,72507.66728063842,72784.09060125708,17215
2026-07-08 09:55:00,72784.09060125708,73178.66892506272,72591.62775170829,73119.81819847619,63792
2026-07-08 10:00:00,73119.81819847619,73510.55935792204,73066.95544702208,73471.18139639481,56365
2026-07-08 10:05:00,73471.18139639481,73591.6977257551,73263.56167809028,73523.99513408849,34080
2026-07-08 10:10:00,73523.99513408849,73565.53915774333,73219.75671165873,73330.475243695,22298
2026-07-08 10:15:00,73330.475243695,73558.42556538864,73211.33289257537,73540.68840076948,86439
2026-07-08 10:20:00,73540.68840076948,73622.3296331786,73450.41599806398,73601.71225763878,66030
2026-07-08 10:25:00,73601.71225763878,73790.59934332481,73366.05350729782,73401.18865213805,72403
2026-07-08 10:30:00,73401.18865213805,73495.71167203538,73355.14411839402,73411.03483482264,73800
2026-07-08 10:35:00,73411.03483482264,74067.26846298816,73400.01960411873,73846.13458460142,37501
2026-07-08 10:40:00,73846.13458460142,74467.04735525354,73824.76521728768,74264.93582488192,63263
2026-07-08 10:45:00,74264.93582488192,74421.28670032881,74175.86015675646,74290.01710431033,98688
2026-07-08 10:50:00,74290.01710431033,74404.42866581562,73932.14145273314,74102.1416504623,12825
2026-07-08 10:55:00,74102.1416504623,74153.9430877772,73918.5242141228,74017.21634262777,17099
2026-07-08 11:00:00,74017.21634262777,74396.89306540515,73826.50068753776,74268.66060319945,100794
2026-07-08 11:05:00,74268.66060319945,74652.25887686972,74210.49164560752,74569.02232663424,17456
2026-07-08 11:10:00,74569.02232663424,74617.03282559084,74141.02317694637,74305.80773140046,41651
2026-07-08 11:15:00,74305.80773140046,74505.46585731125,74008.38562424348,74095.8483165818,102905
2026-07-08 11:20:00,74095.8483165818,74128.32036134075,73754.02642081278,73856.1458052367,115078
2026-07-08 11:25:00,73856.1458052367,74014.26756759745,73656.84146388421,73985.42090197485,12055
2026-07-08 11:30:00,73985.42090197485,74136.90179681286,73851.20334406437,73904.29137940155,87485
2026-07-08 11:35:00,73904.29137940155,74006.61708321764,73497.67051534612,73689.82519696736,119502
2026-07-08 11:40:00,73689.82519696736,74064.30059654929,73553.22472648449,74021.59437826343,74383
2026-07-08 11:45:00,74021.59437826343,74075.59920276879,74012.36473774303,74071.57315289986,102961
2026-07-08 11:50:00,74071.57315289986,74304.28416157256,73975.62088084362,74294.32910371233,85439
2026-07-08 11:55:00,74294.32910371233,74581.80641758374,74251.73687179107,74496.9533254579,110369
2026-07-08 12:30:00,74496.9533254579,74591.18701450512,74205.25506254208,74330.63571048348,102906
2026-07-08 12:35:00,74330.63571048348,74850.60481441613,74144.61973998504,74767.6025281191,52083
2026-07-08 12:40:00,74767.6025281191,74878.34933464904,74628.37481795666,74867.52064055293,91680
2026-07-08 12:45:00,74867.52064055293,74930.82791537896,74728.0270851248,74920.26732913079,67162
2026-07-08 12:50:00,74920.26732913079,75326.78222412032,74893.18981550378,75311.67353279544,59542
2026-07-08 12:55:00,75311.67353279544,75359.71017613637,74992.13307440921,75049.42229355196,79020
2026-07-08 13:00:00,75049.42229355196,75279.23329611922,74839.25409939604,75130.03278994282,22162
2026-07-08 13:05:00,75130.03278994282,75322.45766090626,74872.97390902559,75060.99848836404,74162
2026-07-08 13:10:00,75060.99848836404,75119.23643262955,74780.96626176704,74832.57385082655,38190
2026-07-08 13:15:00,74832.57385082655,74929.99451270948,74594.42437059608,74753.29242142841,12168
2026-07-08 13:20:00,74753.29242142841,74841.22383499003,74494.37748882058,74594.31914374337,33242
2026-07-08 13:25:00,74594.31914374337,75026.32200749025,74404.34239733711,74843.20909129421,108085
2026-07-08 13:30:00,74843.20909129421,74981.16283657531,74582.1371714152,74626.5503812555,109741
2026-07-08 13:35:00,74626.5503812555,74846.4269388015,74346.77318282751,74434.72191139119,32697
2026-07-08 13:40:00,74434.72191139119,74765.01809275906,74432.9291361007,74742.19593880214,51801
2026-07-08 13:45:00,74742.19593880214,75117.83663346182,74563.92765343851,75104.5498843722,98019
2026-07-08 13:50:00,75104.5498843722,75196.71753849518,74655.67319691168,74846.41740845532,80921
2026-07-08 13:55:00,74846.41740845532,75214.92384022802,74767.05095167215,75178.84358813467,9549
2026-07-08 14:00:00,75178.84358813467,75595.66643051917,74988.816097759,75421.55068904143,99963
2026-07-08 14:05:00,75421.55068904143,75603.03135718574,75296.06707004366,75353.02360002404,57582
2026-07-08 14:10:00,75353.02360002404,75744.63949461034,75151.44718252706,75519.51976900229,83153
2026-07-08 14:15:00,75519.51976900229,75555.31940406353,75357.32694661061,75548.1643318397,8725
2026-07-08 14:20:00,75548.1643318397,75804.8178688118,75398.44654384421,75722.92120962965,55628
2026-07-08 14:25:00,75722.92120962965,75945.76722114878,75617.09826616326,75725.96270822405,106089
2026-07-08 14:30:00,75725.96270822405,76134.08687903521,75563.73542081169,76116.29265245485,68572
2026-07-08 14:35:00,76116.29265245485,76229.42657303502,75942.98138063932,76006.90502530678,82326
2026-07-08 14:40:00,76006.90502530678,76206.02421436718,75750.8425083319,75963.98476184772,35724
2026-07-08 14:45:00,75963.98476184772,76013.60301817267,75774.46859284551,75966.1968377782,96756
